AgEye Weather Report | Previous 7-days Hourly Observations
Fri Mar 13 2020 init 00 UTC
Orono (44.89N 68.69W)
====================================
Year,Month,Day,Hour of Day,Fcst Hour,deg F,deg F,deg F,%,in,in,%,mi/h,mi/h,Degree True,%,hPa,degF,deg F,deg F,Fraction,Fraction,%,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,in/h 
yyyy,mm,dd,hh (EDT),fh,t2,apt2,dpt2,rh2,prcp,aprcp,pop,ws10,gust,wdir,tcld,pres,ts,soilt_2in,soilt_10in,soilw_2in,soilw_10in,solar_pct,dswrf,dlwrf,uswrf,ulwrf,netrad,gflux,pevap,et0 
2020,3,12,20,-168,33,29,21,60,,,,2,2,99,18,1019,,,,,,,,,,,,,,
2020,3,12,21,-167,31,26,19,61,0,0,,3,3,164,9,1019,,,,,,,,,,,,,,
2020,3,12,22,-166,30,24,19,65,0,0,,3,3,165,0,1019,,,,,,,,,,,,,,
2020,3,12,23,-165,30,25,21,69,0,0,,3,3,160,56,1019,,,,,,,,,,,,,,
2020,3,13,0,-164,30,27,23,73,0,0,,1,2,165,49,1020,,,,,,,,,,,,,,
2020,3,13,1,-163,31,26,23,72,0,0,,3,3,155,60,1020,,,,,,,,,,,,,,
2020,3,13,2,-162,30,26,23,75,0,0,,1,3,153,58,1019,,,,,,,,,,,,,,
2020,3,13,3,-161,31,25,24,74,0,0,,5,5,144,98,1018,,,,,,,,,,,,,,
2020,3,13,4,-160,31,26,25,79,0,0,,3,4,154,56,1018,,,,,,,,,,,,,,
2020,3,13,5,-159,32,27,27,80,0,0,,3,4,127,84,1017,,,,,,,,,,,,,,
2020,3,13,6,-158,33,27,29,83,0.008,0.008,,5,5,131,99,1017,,,,,,,,,,,,,,
2020,3,13,7,-157,34,28,30,86,0.025,0.033,,5,6,141,100,1016,,,,,,,,,,,,,,
2020,3,13,8,-156,34,28,32,90,0.035,0.068,,7,15,144,81,1015,,,,,,,,,,,,,,
2020,3,13,9,-155,35,28,33,92,0.005,0.073,,8,12,145,95,1014,,,,,,,,,,,,,,
2020,3,13,10,-154,36,28,33,89,0.004,0.077,,10,20,138,99,1012,,,,,,,,,,,,,,
2020,3,13,11,-153,38,29,33,84,0,0.077,,12,30,141,89,1009,,,,,,,,,,,,,,
